,Nama,Harga Diskon,Harga Awal,Diskon,Terjual,Kota/Kab,Toko,Rating,Kategori
145,Portrait Foto Studio Lighting Kit Youtube Vlog - LD-TZ07A,412900,1290250,68.0,0,Jakarta Barat,Toko O,,Lighting
146,Fitting E27 Cabang 3 Lampu Bohlam Studio Led Lighting Light Stand,25000,25000,0.0,0,Sleman,Toko G,,Lighting
147,Lighting Stand Tripod 3 Section 200cm - SN303,59900,59900,0.0,0,Kab. Tangerang,Toko B,,Lighting
148,Softbox Reflektor Photography Foto Studio Lighting Kit Safstar,820600,1362000,39.8,3,Jakarta Barat,Toko H,5.0,Lighting
149,TaffSTUDIO Portrait Foto Studio Lighting Kit Youtube Vlog LD-TZ07A,412900,2037000,79.7,0,Jakarta Barat,Toko O,,Lighting
150,Mcdodo Kabel 3 in 1 6A Super Fast Charging VOOC Type C Lightning Micro USB,115000,115000,0.0,0,Jakarta Pusat,Toko G,,Lighting
151,Mcdodo Kabel 20CM USB to iPhone Lightning NYLON 3A Fast Charging,37500,37500,0.0,0,Jakarta Pusat,Toko G,,Lighting
152,Microphone Clip-on Lightning Plug Lavalier iPhone JH041,46500,227400,79.6,0,Jakarta Barat,Toko E,,Lighting
153,Lampu LED Bulb Light 50W - 6500K Lighting Studio,120000,120000,0.0,5,Jakarta Utara,Toko B,3.3,Lighting
154,Kabel Data Mcdodo Usb 3A Auto Power Off iPhone Lightning 1.8m Original,79000,79000,0.0,2,Jakarta Pusat,Toko G,5.0,Lighting
155,Portrait Foto Studio Lighting Kit Youtube Vlog TaffSTUDIO VL-9004,236900,850000,72.1,0,Jakarta Barat,Toko O,,Lighting
156,Boom Arm Bracket Lampu Foto Studio Lighting Perlengkapan Studio FOT-044,111000,177000,37.3,4,Jakarta Barat,Toko G,4.3,Lighting
157,GVM Pro SD200B Bi-Color LED Monolight SD 200B SET 1 - 2 Lightning Lamp,3989000,3989000,0.0,0,Jakarta Pusat,Toko N,,Lighting
158,GVM Pro SD300B Bi-Color LED Monolight SD 300B SET 1 - 2 Lightning Lamp,6099000,6099000,0.0,0,Jakarta Pusat,Toko N,,Lighting
159,Reflektor Cahaya 5 in 1 Backdrop Studio Foto Lightning FOT-109,60000,90000,33.3,0,Jakarta Barat,Toko G,,Lighting
160,Nanlite LT-65 Lantern Softbox 65CM for Lightning Forza Lampu Original,549000,549000,0.0,0,Jakarta Pusat,Toko N,,Lighting
161,"Aputure Amaran Light Dome Mini SE (22.8"") Lightning Softbox Resmi",1130000,1130000,0.0,0,Jakarta Pusat,Toko N,,Lighting
162,Tripod Light Stand Lighting Studio Tiang Lampu 5 Section 350cm 350 cm,173000,173000,0.0,0,Sleman,Toko G,,Lighting
163,Takara WP-90D Wall Plate with 90 degree baby pin for Lightning WP90D,185000,185000,0.0,0,Jakarta Pusat,Toko N,,Lighting
164,Wireless Lavalier Lapel Microphone System Lightning M9,92000,462600,80.1,0,Jakarta Barat,Toko E,,Lighting
165,Microphone Clip on Lightning Plug Lavalier iPhone JH-041,47400,188000,74.8,0,Jakarta Barat,Toko O,,Lighting
166,Wireless Lavalier Lapel Microphone System Lightning - M9,93300,327000,71.5,0,Jakarta Barat,Toko O,,Lighting
167,Wireless Lavalier Lapel Microphone Vlogger Lightning HO86,232600,280200,17.0,0,Jakarta Barat,Toko E,,Lighting
168,Mikrofon Wireless Lavalier Portable Mic USB Lightning G10,91600,460800,80.1,0,Jakarta Barat,Toko E,,Lighting
169,Zhiyun Molus X100 Combo Bi-Color LED Lampu Lighting 100W Resmi,5584000,5584000,0.0,0,Tangerang,Toko G,,Lighting
170,Takara WP-90D Wall Plate with 90 degree baby pin for Lightning Studio,209000,209000,0.0,0,Jakarta Pusat,Toko N,,Lighting
171,Light Stand Tripod Tiang Lampu 160cm 160 cm for Studio Lighting Kamera,57000,57000,0.0,0,Sleman,Toko G,,Lighting
172,Tripod Lampu Sunset Proyektor LED Night Lightning Sunset Red Projector,24750,24750,0.0,4,Kab. Bekasi,Toko R,4.8,Lighting
173,TaffSTUDIO Mikrofon Portable Wireless Lavalier Mic USB Lightning - G10,110000,110000,0.0,1,Jakarta Barat,Toko W,5.0,Lighting
174,Nanlite Forza 60 II Daylight LED Monolight Lighting Kamera Video 60II,3970000,3970000,0.0,0,Jakarta Pusat,Toko N,,Lighting
175,Paket Lighting Studio Lengkap Terjangkau dengan 3 Kain Backdrop,1100000,1100000,0.0,0,Kab. Tangerang,Toko B,,Lighting
176,TaffSTUDIO Portable Light Stand Tripod 3 Section 200cm for Studio Lightning - SN303 - Black,47800,47800,0.0,0,Jakarta Barat,Toko O,,Lighting
177,Paket lighting studio foto photo profesional peralatan perlengkapan lightning kit youtube youtuber vlog unboxing with backdrop lengkap,1092100,1092100,0.0,5,Jakarta Timur,Toko M,5.0,Lighting
178,ROCKWARE RGB Colorful Handheld Lighting Stick - Alat Cahaya Fotografi,298700,298700,0.0,0,Kab. Tangerang,Toko G,,Lighting
179,Microphone Wireless Lavalier Lapel Vlogger Lightning E60,340700,410400,17.0,0,Jakarta Barat,Toko E,,Lighting
180,Mcdodo OTG Converter iPhone Lightning to Type C Female Audio Headset,105000,105000,0.0,0,Jakarta Pusat,Toko G,,Lighting
181,Wireless Lavalier Lapel Microphone Vlogger Lightning - E60,269700,290000,7.0,0,Jakarta Barat,Toko O,,Lighting
182,Mikrofon Wireless Lavalier Portable Mic USB Lightning - G10,92900,340000,72.7,0,Jakarta Barat,Toko O,,Lighting
183,Wireless Lavalier Lapel Microphone Vlogger Lightning - HO86,204600,220000,7.0,0,Jakarta Barat,Toko O,,Lighting
184,VYATTA 4in1 CABLE 66W USB TYPE C LIGHTNING IPHONE SAMSUNG XIAOMI,84915,159000,46.6,0,Jakarta Timur,Toko A,,Lighting
185,Lampu Air Terjun 3x3 Meter Waterfall Lighting Lampu Tirai Hujan LED Dekorasi Ruangan,289000,289000,0.0,0,Jakarta Barat,Toko X,,Lighting
186,Kabel Data Metal Magnetic X-Cable 360 For Lighting/Type C/ Micro USB,17510,18700,6.4,28,Jakarta Utara,Toko Y,5.0,Lighting
187,Cafele Elbow Magnetic Fast Charging Cable - Lightning - Type-C - Micro,125000,125000,0.0,10,Jakarta Barat,Toko N,5.0,Lighting
188,PAKET LZ04 Penjepit Lazypod Lighting Vloger LampPlus Lampu 45 W,175000,175000,0.0,0,Jakarta Barat,Toko F,,Lighting
189,Microphone Wireless Lavalier Lapel Microphone Vlogger Lightning,78000,78000,0.0,0,Jakarta Barat,Toko Z,,Lighting
190,Stand Lighting Tripod Portable 3 Section 200cm TaffSTUDIO - SN303,46300,185000,75.0,4,Jakarta Barat,Toko O,5.0,Lighting
191,SENXIN Wireless Lavalier Lapel Microphone Podcast Live Lightning - J13,273822,276588,1.0,0,Jakarta Barat,Toko P,,Lighting
